Comment,Designator,Footprint,LCSC
LSHM-120-02.5-L-DV-A-S-TR,J12,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,
Conn_01x10,J10,wirebond_10x_1cm,
Conn_01x10,J14,wirebond_10x_1cm,
Conn_01x08_Pin,J1,wirebond_8x_25mm,
LSHM-120-02.5-L-DV-A-S-TR,J11,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,
LSHM-120-02.5-L-DV-A-S-TR,J7,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,
Conn_01x08_Pin,J6,wirebond_8x_25mm,
Conn_01x10,J8,wirebond_10x_1cm,
Conn_01x08_Pin,J5,wirebond_8x_25mm,
Conn_01x08_Pin,J2,wirebond_8x_25mm,
BE40A-S-92SP-2-2-08-0152,J3,BE40A-S-92SP-X-2-08,
LSHM-120-02.5-L-DV-A-S-TR,J9,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,
BE40A-S-92SP-2-2-08-0152,J4,BE40A-S-92SP-X-2-08,
Conn_01x10,J13,wirebond_10x_1cm,
