Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x08_Pin,wirebond_8x_25mm,-16.0,0.035713,-90.0,top
J2,Conn_01x08_Pin,wirebond_8x_25mm,16.0,-0.035713,90.0,top
J3,BE40A-S-92SP-2-2-08-0152,BE40A-S-92SP-X-2-08,0.0,38.0,0.0,top
J4,BE40A-S-92SP-2-2-08-0152,BE40A-S-92SP-X-2-08,0.0,-38.0,180.0,top
J5,Conn_01x08_Pin,wirebond_8x_25mm,-0.035713,16.0,0.0,top
J6,Conn_01x08_Pin,wirebond_8x_25mm,0.035713,-16.0,180.0,top
J7,LSHM-120-02.5-L-DV-A-S-TR,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,37.7,14.0,90.0,top
J8,Conn_01x10,wirebond_10x_1cm,0.0,8.875,0.0,top
J9,LSHM-120-02.5-L-DV-A-S-TR,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,-37.7,-14.0,-90.0,top
J10,Conn_01x10,wirebond_10x_1cm,0.0,-8.875,180.0,top
J11,LSHM-120-02.5-L-DV-A-S-TR,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,-37.7,14.0,-90.0,top
J12,LSHM-120-02.5-L-DV-A-S-TR,SAMTEC_LSHM-120-02.5-L-DV-A-S-TR,37.7,-14.0,90.0,top
J13,Conn_01x10,wirebond_10x_1cm,-8.875,-0.0,90.0,top
J14,Conn_01x10,wirebond_10x_1cm,8.875,-0.0,-90.0,top
